Date|Close|Open|High|Low|Volume|Change
2021-06-10|2,973.64|2,961.19|2,983.42|2,960.17|72.48M|0.43%
2021-06-11|3,000.80|2,975.22|3,005.60|2,975.22|59.93M|0.91%
2021-06-14|3,007.22|2,999.55|3,010.06|2,992.37|51.98M|0.21%
2021-06-15|3,016.38|3,008.91|3,022.12|3,005.92|48.36M|0.30%
2021-06-16|3,035.74|3,016.86|3,037.42|3,014.58|58.35M|0.64%
2021-06-17|3,020.39|3,032.71|3,032.71|3,007.05|59.67M|-0.51%
2021-06-18|3,023.29|3,020.62|3,037.73|3,020.19|70.65M|0.10%
2021-06-21|3,003.15|3,020.55|3,020.55|2,989.14|86.19M|-0.67%
2021-06-22|3,019.84|3,006.73|3,027.02|3,006.73|54.72M|0.56%
2021-06-23|3,047.32|3,021.78|3,050.77|3,021.78|68.36M|0.91%
2021-06-24|3,059.59|3,053.39|3,068.40|3,048.54|80.77M|0.40%
2021-06-25|3,066.98|3,063.19|3,081.27|3,058.93|60.04M|0.24%
2021-06-28|3,058.41|3,069.40|3,071.84|3,047.53|48.22M|-0.28%
2021-06-29|3,041.72|3,062.55|3,062.55|3,031.57|54.33M|-0.55%
2021-06-30|3,056.06|3,043.29|3,067.35|3,043.29|54.13M|0.47%
2021-07-01|3,035.75|3,057.05|3,058.53|3,032.60|58.17M|-0.66%
2021-07-02|3,030.31|3,034.65|3,045.40|3,026.33|48.10M|-0.18%
2021-07-05|3,037.59|3,034.20|3,049.95|3,033.87|41.70M|0.24%
2021-07-06|3,054.33|3,040.12|3,061.84|3,040.12|43.82M|0.55%
2021-07-07|3,039.36|3,053.13|3,053.20|3,031.46|57.05M|-0.49%
2021-07-08|3,014.86|3,041.33|3,052.25|3,014.49|66.48M|-0.81%
2021-07-09|2,980.63|3,008.05|3,008.05|2,956.08|79.46M|-1.14%
2021-07-12|3,004.97|2,991.54|3,010.32|2,991.54|40.57M|0.82%
2021-07-13|3,031.08|3,012.89|3,034.32|3,012.89|42.84M|0.87%
2021-07-14|3,023.31|3,029.50|3,029.50|3,012.19|42.51M|-0.26%
2021-07-15|3,041.90|3,027.82|3,042.74|3,017.84|47.63M|0.61%
2021-07-16|3,028.64|3,037.42|3,037.42|3,015.28|42.33M|-0.44%
2021-07-19|2,992.75|3,009.50|3,009.50|2,986.54|46.20M|-1.19%
2021-07-20|2,985.62|2,976.10|2,986.65|2,968.16|53.84M|-0.24%
2021-07-21|2,963.02|3,003.56|3,004.51|2,962.58|53.13M|-0.76%
2021-07-22|3,002.80|2,981.67|3,007.98|2,981.67|55.31M|1.34%
2021-07-23|3,004.03|3,005.45|3,016.35|2,995.34|78.87M|0.04%
2021-07-26|2,977.20|3,016.14|3,016.14|2,976.78|42.84M|-0.89%
2021-07-27|2,982.89|2,997.05|3,003.40|2,980.70|43.58M|0.19%
2021-07-28|2,989.87|2,974.97|2,991.26|2,963.62|50.78M|0.23%
2021-07-29|2,991.60|2,999.28|3,002.92|2,982.25|45.85M|0.06%
2021-07-30|2,949.94|2,981.70|2,982.09|2,949.94|53.80M|-1.39%
2021-08-02|2,975.99|2,966.91|2,975.99|2,945.67|46.74M|0.88%
2021-08-03|3,001.19|2,977.86|3,001.19|2,977.18|60.87M|0.85%
2021-08-04|3,039.28|3,013.30|3,044.15|3,001.69|62.56M|1.27%
2021-08-05|3,030.53|3,042.41|3,052.65|3,027.63|51.84M|-0.29%
2021-08-06|3,018.00|3,030.82|3,042.18|3,011.02|47.06M|-0.41%
2021-08-09|3,011.15|3,004.96|3,020.13|2,997.55|49.90M|-0.23%
2021-08-10|2,989.34|3,020.26|3,020.26|2,980.08|66.68M|-0.72%
2021-08-11|2,961.41|2,978.66|2,988.72|2,957.72|87.71M|-0.93%
2021-08-12|2,943.93|2,950.24|2,966.03|2,937.10|108.54M|-0.59%
2021-08-13|2,904.50|2,937.24|2,940.01|2,887.53|112.57M|-1.34%
2021-08-17|2,877.34|2,899.53|2,913.56|2,868.92|87.57M|-0.94%
2021-08-18|2,888.71|2,875.86|2,903.65|2,860.55|68.51M|0.40%
2021-08-19|2,840.11|2,872.69|2,888.40|2,839.43|70.62M|-1.68%
2021-08-20|2,812.44|2,850.91|2,861.25|2,801.60|69.66M|-0.97%
2021-08-23|2,835.55|2,837.41|2,856.66|2,818.54|58.60M|0.82%
2021-08-24|2,880.41|2,861.22|2,883.87|2,857.04|59.75M|1.58%
2021-08-25|2,886.90|2,890.40|2,903.18|2,863.96|53.26M|0.23%
2021-08-26|2,858.44|2,889.56|2,897.61|2,853.88|54.96M|-0.99%
2021-08-27|2,854.01|2,844.91|2,863.30|2,830.24|44.33M|-0.15%
2021-08-30|2,857.41|2,880.21|2,883.94|2,847.37|40.34M|0.12%
2021-08-31|2,919.10|2,858.96|2,920.04|2,845.70|76.38M|2.16%
