Date|Close|Open|High|Low|Volume|Change|Value
1996-06-15|859.49|862.42|864.71|852.74|13.25M|-0.35%|0
1996-06-17|856.43|859.73|860.97|854.2|16.25M|-0.36%|0
1996-06-18|862.31|857.4|862.33|857.4|19.01M|0.69%|1
1996-06-19|869.56|862.94|870.71|862.94|22.26M|0.84%|1
1996-06-20|861.72|869.6|871.63|861.22|21.41M|-0.90%|0
1996-06-21|864.27|862.71|868.65|862.71|23.84M|0.30%|1
1996-06-22|856.36|864.11|865.93|856.36|14.39M|-0.92%|0
1996-06-24|842.48|855.12|855.12|839.75|20.25M|-1.62%|0
1996-06-25|836.94|840.81|842.44|835.01|17.89M|-0.66%|0
1996-06-26|823.63|836.64|839.25|822.41|19.22M|-1.59%|0
1996-06-27|820.05|822.31|824.88|812.53|21.32M|-0.43%|0
1996-06-28|823.53|820.94|832.99|820.94|17.38M|0.42%|1
1996-06-29|817.43|822.69|822.85|810.81|10.78M|-0.74%|0
1996-07-01|833.79|816.47|833.79|816.05|14.25M|2.00%|1
1996-07-02|837.93|833.62|844.87|833.61|19.61M|0.50%|1
1996-07-03|838.24|837|839.53|829.87|18.45M|0.04%|1
1996-07-04|841.51|839.1|848.91|839.1|21.95M|0.39%|1
1996-07-05|845.12|843.17|847.18|838.51|23.47M|0.43%|1
1996-07-06|850.39|845.1|850.9|845.1|14.65M|0.62%|1
1996-07-08|847.99|850.9|857.27|847.99|20.71M|-0.28%|0
1996-07-09|858.05|847.64|858.1|847.64|21.47M|1.19%|1
1996-07-10|858.79|858.56|861.14|854.23|27.15M|0.09%|1
1996-07-11|847.39|858.2|862.4|847.39|28.81M|-1.33%|0
1996-07-12|839.82|846.76|846.76|838.64|22.31M|-0.89%|0
1996-07-13|835.3|839.39|839.73|835.23|15.56M|-0.54%|0
1996-07-15|814.11|833.54|833.54|814.11|20.75M|-2.54%|0
1996-07-16|812.66|811.97|812.69|800.42|23.78M|-0.18%|0
1996-07-18|816.47|813.34|827.78|813.34|19.11M|0.47%|1
1996-07-19|837.39|815.52|837.41|815.45|19.37M|2.56%|1
1996-07-20|840.05|838.55|845.85|835.99|15.22M|0.32%|1
1996-07-22|838.75|839.57|844.59|837.04|19.05M|-0.15%|0
1996-07-23|838.78|837.66|840.47|835.38|20.13M|0.00%|1
1996-07-24|832.48|838.31|841.9|830.92|19.69M|-0.75%|0
1996-07-25|820.29|831.64|831.64|818.87|20.85M|-1.46%|0
1996-07-26|814.03|818.38|823.24|814|23.74M|-0.76%|0
1996-07-27|804.55|812.25|812.25|802.98|13.71M|-1.16%|0
1996-07-29|805.15|804.33|813.3|802.9|16.56M|0.07%|1
1996-07-30|807.28|805.87|808.21|795.93|18.91M|0.26%|1
1996-07-31|821.71|806.13|821.71|806.13|23.53M|1.79%|1
1996-08-01|835.27|822.8|837.71|822.8|28.34M|1.65%|1
1996-08-02|826.23|835.75|835.75|825.63|20.87M|-1.08%|0
1996-08-03|824.08|825.35|827.05|823.48|13.55M|-0.26%|0
1996-08-05|824.3|823.98|826.21|821.64|19.24M|0.03%|1
1996-08-06|828.05|824.28|830.6|822.05|20.33M|0.45%|1
1996-08-07|834.03|827.74|834.03|827.6|20.10M|0.72%|1
1996-08-08|837.2|834.23|844.93|834.23|27.11M|0.38%|1
1996-08-09|832.61|836.98|837.19|830.49|18.72M|-0.55%|0
1996-08-10|836.77|831.69|837.1|831.69|14.27M|0.50%|1
1996-08-12|837.99|835.77|838.55|835.73|19.32M|0.15%|1
1996-08-13|833.43|839.03|839.39|832.32|19.20M|-0.54%|0
1996-08-14|825.84|832.86|833.39|825.81|20.60M|-0.91%|0
1996-08-16|814.96|825.21|825.45|814.81|16.40M|-1.32%|0
1996-08-17|810.69|814.29|814.6|810.18|10.60M|-0.52%|0
1996-08-19|800.52|809.29|810.94|799.53|14.87M|-1.25%|0
1996-08-20|793.91|799.98|806.04|793.9|16.13M|-0.83%|0
1996-08-21|789.12|793.16|793.16|783.33|17.22M|-0.60%|0
1996-08-22|779.63|789.17|792.68|779.59|16.83M|-1.20%|0
1996-08-23|781.42|779.66|786.27|779.66|21.39M|0.23%|1
1996-08-24|782.13|781.69|788.07|781.01|13.76M|0.09%|1
1996-08-26|766.89|782.67|782.67|766.64|18.20M|-1.95%|0
1996-08-27|761.75|763.72|774.57|760.35|16.79M|-0.67%|0
1996-08-28|753.35|761.17|764.33|749.76|19.75M|-1.10%|0
1996-08-29|766.16|754.25|766.22|750.41|19.35M|1.70%|1
1996-08-30|782.87|767.32|782.89|766.22|20.44M|2.18%|1
1996-08-31|781.49|782.77|783.08|774.2|13.76M|-0.18%|0
1996-09-02|774.26|781.77|782.81|771.14|17.10M|-0.93%|0
1996-09-03|769.8|771.83|771.83|764.28|16.38M|-0.58%|0
1996-09-04|791.64|771.95|794.08|771.95|28.58M|2.84%|1
1996-09-05|787.14|795.25|798.07|787.14|23.13M|-0.57%|0
1996-09-06|784.05|786.64|789.99|779.47|22.64M|-0.39%|0
1996-09-07|785.26|783.96|787.36|782.03|15.76M|0.15%|1
1996-09-09|797.38|785.11|799.11|783.74|23.10M|1.54%|1
1996-09-10|803.04|798.32|806.17|798.32|24.88M|0.71%|1
1996-09-11|801.45|802.98|803.94|798.31|21.46M|-0.20%|0
1996-09-12|797.57|801.35|802.43|794.35|25.06M|-0.48%|0
1996-09-13|785.19|797.39|797.39|785.13|24.31M|-1.55%|0
1996-09-14|781.73|783.97|787.07|781.49|15.56M|-0.44%|0
1996-09-16|781.88|780.88|788.4|780.88|20.94M|0.02%|1
1996-09-17|781.76|781.6|784.26|779.17|22.38M|-0.02%|0
1996-09-18|782.1|782.71|787.5|781.79|28.96M|0.04%|1
1996-09-19|773.15|781.88|784.58|772.79|28.70M|-1.14%|0
1996-09-20|759.35|773.21|773.87|755.09|30.82M|-1.78%|0
1996-09-21|768.37|758.69|769.16|754.69|18.18M|1.19%|1
1996-09-23|769.2|767.97|778.24|765.29|28.49M|0.11%|1
1996-09-24|777.91|768.75|778.35|767.49|26.66M|1.13%|1
1996-09-25|793.21|778.84|798.46|778.84|30.40M|1.97%|1
1996-09-30|789.67|794.33|804.68|789.47|28.72M|-0.45%|0
1996-10-01|789.47|790.47|794.37|784.1|66.19M|-0.03%|0
1996-10-02|794.01|789.6|798.62|786.79|45.25M|0.58%|1
1996-10-04|776.43|793.93|793.93|776.43|38.66M|-2.21%|0
1996-10-05|777.31|775.38|779.04|773.89|22.83M|0.11%|1
1996-10-07|795.33|777.82|801.8|777.82|41.05M|2.32%|1
1996-10-08|797.62|795.51|806.12|795.51|39.12M|0.29%|1
1996-10-09|817.78|798.71|817.78|798.71|46.68M|2.53%|1
1996-10-10|830.21|819.05|830.22|819.05|53.89M|1.52%|1
1996-10-11|833.43|830.83|836.96|827.19|53.46M|0.39%|1
1996-10-12|840.8|833.93|843.99|833.93|36.14M|0.88%|1
1996-10-14|842.28|840.86|849.12|838.08|56.02M|0.18%|1
1996-10-15|828.61|843.85|848.49|828.61|55.16M|-1.62%|0
1996-10-16|835.17|829.08|835.26|823.68|47.92M|0.79%|1
1996-10-17|839.73|836.32|847.33|834.51|54.49M|0.55%|1
1996-10-18|830.25|839.64|847.09|830.24|44.57M|-1.13%|0
1996-10-19|831.18|830.14|831.97|821.72|25.43M|0.11%|1
1996-10-21|832.62|830.43|844.51|829.51|34.72M|0.17%|1
1996-10-22|819.22|831.96|831.96|818.28|26.06M|-1.61%|0
1996-10-23|811.98|818.3|819.47|811.15|26.65M|-0.88%|0
1996-10-24|804.44|811.27|813.84|804.42|23.83M|-0.93%|0
1996-10-25|793.78|804.99|804.99|789.62|26.72M|-1.33%|0
1996-10-26|791.81|793.32|794.76|788.12|17.93M|-0.25%|0
1996-10-28|780.08|791.41|794.59|780.08|26.19M|-1.48%|0
1996-10-29|766.32|778.97|779.01|766.32|25.49M|-1.76%|0
1996-10-30|757.09|766.03|771.7|752.76|24.49M|-1.20%|0
1996-10-31|757.59|757.38|763.52|751.43|28.49M|0.07%|1
1996-11-01|767.87|757.79|767.96|757.79|29.18M|1.36%|1
1996-11-02|765.73|769.77|774.51|765.73|21.53M|-0.28%|0
