Date|Close|Change
2009-11-03|1.52|0.00%
2009-11-04|1.54|1.32%
2009-11-05|1.54|0.00%
2009-11-06|1.52|-1.30%
2009-11-09|1.47|-3.29%
2009-11-10|1.53|4.08%
2009-11-11|1.47|-3.92%
2009-11-12|1.51|2.72%
2009-11-13|1.52|0.66%
2009-11-16|1.47|-3.29%
2009-11-17|1.47|0.00%
2009-11-18|1.49|1.36%
2009-11-19|1.47|-1.34%
2009-11-20|1.47|0.00%
2009-11-23|1.486|1.09%
2009-11-24|1.46|-1.75%
2009-11-25|1.49|2.05%
2009-11-26|1.49|0.00%
2009-11-27|1.46|-2.01%
2009-11-30|1.49|2.05%
2009-12-01|1.54|3.36%
2009-12-02|1.54|0.00%
2009-12-03|1.5|-2.60%
2009-12-04|1.47|-2.00%
2009-12-07|1.5|2.04%
2009-12-08|1.55|3.33%
2009-12-09|1.51|-2.58%
2009-12-10|1.55|2.65%
2009-12-11|1.47|-5.16%
2009-12-14|1.49|1.36%
2009-12-15|1.47|-1.34%
2009-12-16|1.49|1.36%
2009-12-17|1.51|1.34%
2009-12-18|1.5|-0.66%
2009-12-21|1.51|0.67%
2009-12-22|1.55|2.65%
2009-12-23|1.47|-5.16%
2009-12-24|1.55|5.44%
2009-12-25|1.55|0.00%
2009-12-28|1.55|0.00%
2009-12-29|1.48|-4.52%
2009-12-30|1.55|4.73%
2009-12-31|1.55|0.00%
2010-01-04|1.46|-5.81%
2010-01-05|1.55|6.16%
2010-01-06|1.55|0.00%
2010-01-07|1.46|-5.81%
2010-01-08|1.55|6.16%
2010-01-11|1.56|0.65%
2010-01-12|1.55|-0.64%
2010-01-13|1.58|1.94%
2010-01-14|1.56|-1.27%
2010-01-15|1.54|-1.28%
2010-01-18|1.54|0.00%
2010-01-19|1.63|5.84%
2010-01-20|1.55|-4.91%
2010-01-21|1.63|5.16%
2010-01-22|1.55|-4.91%
2010-01-25|1.55|0.00%
2010-01-26|1.58|1.94%
2010-01-27|1.55|-1.90%
2010-01-28|1.56|0.65%
2010-01-29|1.55|-0.64%
2010-02-01|1.63|5.16%
2010-02-02|1.53|-6.13%
2010-02-03|1.62|5.88%
2010-02-04|1.63|0.62%
2010-02-05|1.65|1.23%
2010-02-08|1.61|-2.42%
2010-02-09|1.59|-1.24%
2010-02-10|1.49|-6.29%
2010-02-11|1.55|4.03%
2010-02-12|1.55|0.00%
2010-02-20|1.51|-2.58%
2010-02-21|1.67|10.60%
2010-02-22|1.5|-10.18%
2010-02-23|1.55|3.33%
2010-02-24|1.52|-1.94%
2010-02-25|1.52|0.00%
2010-02-26|1.55|1.97%
2010-03-01|1.45|-6.45%
2010-03-02|1.55|6.90%
2010-03-03|1.49|-3.87%
2010-03-04|1.52|2.01%
2010-03-05|1.49|-1.97%
2010-03-08|1.63|9.40%
2010-03-09|1.44|-11.66%
2010-03-10|1.49|3.47%
2010-03-11|1.49|0.00%
2010-03-12|1.62|8.72%
2010-03-15|1.5|-7.41%
2010-03-16|1.48|-1.33%
2010-03-17|1.47|-0.68%
2010-03-18|1.48|0.68%
2010-03-19|1.6|8.11%
2010-03-22|1.5|-6.25%
2010-03-23|1.48|-1.33%
2010-03-24|1.47|-0.68%
2010-03-25|1.5|2.04%
2010-03-26|1.55|3.33%
2010-03-29|1.47|-5.16%
2010-03-30|1.47|0.00%
2010-03-31|1.59|8.16%
2010-04-01|1.61|1.26%
2010-04-02|1.45|-9.94%
2010-04-06|1.48|2.07%
2010-04-07|1.48|0.00%
2010-04-08|1.46|-1.35%
2010-04-09|1.45|-0.68%
2010-04-12|1.48|2.07%
2010-04-13|1.47|-0.68%
2010-04-14|1.47|0.00%
2010-04-15|1.54|4.76%
2010-04-16|1.46|-5.19%
2010-04-19|1.46|0.00%
2010-04-20|1.52|4.11%
2010-04-21|1.56|2.63%
2010-04-22|1.56|0.00%
2010-04-23|1.68|7.69%
2010-04-26|1.47|-12.50%
2010-04-27|1.5|2.04%
2010-04-28|1.64|9.33%
2010-04-29|1.52|-7.32%
